id,source_table,unit,skill_code,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,difficulty,quiz_id,video_id,status,quality_note,new_question,new_choice_a,new_choice_b,new_choice_c,new_choice_d,new_answer,new_explanation
8573db36-355d-4712-b61a-e6207eb4daae,question_bank_items,酸鹼中和,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,,,keep,,,,,,,,
b9182432-0ca9-41d5-9db7-1449a182e1e4,question_bank_items,酸鹼中和,EL01,關於電解質溶液的敘述，下列何者最適當？,溶液中必存在可移動的離子才可能導電,所有分子溶質皆能導電,導電與溶質是否為分子無關,只有固態才能導電,A,水溶液導電與離子是否存在與可移動有關。,進階,,,keep,,,,,,,,
fca46033-4c43-472c-b213-459b8be9200f,question_bank_items,酸鹼中和,EL02,下列何者屬於「電解質」？,氯化鈉,蔗糖,酒精,食用油,A,氯化鈉溶於水可解離出離子，屬電解質。,基礎,,,keep,,,,,,,,
c57497a7-2b49-43c2-9bd6-70ffe60e6170,question_bank_items,酸鹼中和,EL02,下列何者最可能是「非電解質」？,葡萄糖水溶液不導電且溶質為分子,鹽酸溶液,氫氧化鈉溶液,氯化鈣溶液,A,非電解質溶於水仍以分子形式存在，溶液通常不導電。,進階,,,keep,,,,,,,,
302306fb-db00-41f2-8ee9-cd1e9d1348b7,question_bank_items,酸鹼中和,EL03,電解質水溶液能導電的主要原因為何？,溶液中有可自由移動的離子,只有水分子碰撞,溶質皆為金屬,與溫度無關,A,離子在電場下移動形成電流。,基礎,,,keep,,,,,,,,
c57339c8-d99e-4893-a50e-ee08a54d702e,question_bank_items,酸鹼中和,EL03,純水導電性極弱，加入少量氯化鈉後導電性明顯上升，主因為何？,產生可移動的鈉離子與氯離子,水變成金屬,氯化鈉阻斷電流,僅水分子增加,A,解離出離子使溶液可導電。,進階,,,keep,,,,,,,,
ba538392-58b6-4cc3-979d-fd7eaeda9bcb,question_bank_items,酸鹼中和,EL04,欲判斷某固體溶於水後是否為電解質，實驗上常測量什麼？,水溶液是否導電,顏色深淺,密度是否為 1,沸點是否為 100℃,A,導電性為常見判別方式之一。,基礎,,,keep,,,,,,,,
e8272423-8839-4dbb-8bd3-5bef1c657296,question_bank_items,酸鹼中和,EL04,下列敘述何者較合理？,離子化合物溶於水若解離出離子，通常可導電,所有分子化合物皆不導電,導電與溶解度無關,固態離子化合物必可導電,A,須溶於水並解離出可移動離子才易導電。,進階,,,keep,,,,,,,,
082d176f-8d92-4c8a-b890-4a338f5fc282,question_bank_items,酸鹼中和,EL05,強電解質在水溶液中的解離程度通常如何？,幾乎完全解離,幾乎不解離,與弱電解質相同,無法比較,A,強電解質可視為幾乎完全解離。,基礎,,,keep,,,,,,,,
40b51981-b180-4a86-bfd9-db30bf1c9d98,question_bank_items,酸鹼中和,EL05,下列何者「通常」屬於弱電解質的特性？,僅部分解離，溶液中仍有未解離的分子,完全不解離,必為金屬,必不導電,A,弱電解質僅部分解離。,進階,,,keep,,,,,,,,
71cac439-6391-48c3-878c-b4b17bcc36c0,question_bank_items,酸鹼中和,EL06,下列何者與電解質在日常應用較有關？,生理食鹽水與體液中的離子平衡,玻璃透光,塑膠絕緣,鐵的導熱,A,體液中含有多種電解質維持生理機能。,基礎,,,keep,,,,,,,,
b54feb40-fb94-4c12-a441-19de40f8a237,question_bank_items,酸鹼中和,EL06,運動飲料常強調補充電解質，主要目的為何？,補充因流汗流失的鈉、鉀等離子,增加脂肪吸收,降低體溫至 0℃,使血液變鹼至 pH=14,A,流汗會流失水溶性離子。,進階,,,keep,,,,,,,,
26dafa40-1ed4-41ce-b594-13b809549ecd,question_bank_items,酸鹼中和,AB01,酸性水溶液在 25℃ 時，pH 值通常如何？,小於 7,等於 7,大於 7,必為 14,A,酸性溶液中氫離子濃度較高，pH 小於 7。,基礎,,,keep,,,,,,,,
a1d5828d-2f26-4ba0-bb5f-0f03b1f82da2,question_bank_items,酸鹼中和,AB01,下列何者為酸的通性之一？,可使藍色石蕊試紙變紅,使酚酞變紅,pH 必大於 7,與金屬反應必產生氫氣且無例外,A,酸性可使藍色石蕊變紅（通性敘述依實驗條件）。,進階,,,keep,,,,,,,,
6e21bc5d-bec9-4b7d-a75d-afd33f029985,question_bank_items,酸鹼中和,AB02,鹼性水溶液在 25℃ 時，pH 值通常如何？,大於 7,小於 7,必為 0,必為 7,A,鹼性溶液 pH 大於 7。,基礎,,,keep,,,,,,,,
e78cd243-5f1b-4beb-b179-a9ccdcab37af,question_bank_items,酸鹼中和,AB02,下列何者較符合鹼的性質？,水溶液中氫氧根離子濃度較高,[H⁺] 大於 [OH⁻],必為非水溶液,不能與酸反應,A,鹼性與 OH⁻ 濃度相對較高有關。,進階,,,keep,,,,,,,,
4173b28b-952b-4768-9aab-c410ebc1ecd4,question_bank_items,酸鹼中和,AB03,下列何者常見為酸性物質？,檸檬汁中的檸檬酸,肥皂水,漂白水（討論常見情境時）,小蘇打水（溶於水呈弱鹼性）,A,檸檬酸為酸性物質。,基礎,,,keep,,,,,,,,
18356d52-a1bb-4470-aecf-ff94c0f05d9d,question_bank_items,酸鹼中和,AB03,實驗室常見的稀鹽酸，其水溶液性質下列何者最適當？,呈酸性,呈鹼性,必為中性,不溶於水,A,鹽酸為強酸，水溶液呈酸性。,進階,,,keep,,,,,,,,
f25bf17e-b047-446d-9d98-676e4fb6b60a,question_bank_items,酸鹼中和,AB04,下列何者常見為鹼性物質？,氫氧化鈉水溶液,食醋,汽水,檸檬汁,A,氫氧化鈉為強鹼。,基礎,,,keep,,,,,,,,
522ee637-0a5f-47c6-91c9-dc1ba4af3371,question_bank_items,酸鹼中和,AB04,石灰水的主要溶質若為氫氧化鈣，其水溶液性質下列何者合理？,呈鹼性,呈強酸性 pH=0,不與酸反應,必為中性,A,氫氧化鈣溶於水可釋出 OH⁻，呈鹼性。,進階,,,keep,,,,,,,,
8a89453c-1e7d-413c-b8e3-19460c86395b,question_bank_items,酸鹼中和,AB05,下列何者最適合判斷某溶液為酸性？,pH 計讀值小於 7（25℃）,pH 計讀值大於 7,溶液無色,溶液有香味,A,25℃ 時酸性溶液 pH 小於 7。,基礎,,,keep,,,,,,,,
b9b852c4-b968-46b9-a0e8-09568741aefa,question_bank_items,酸鹼中和,AB05,以廣用試紙檢測未知溶液，顯示偏紅，下列推論何者最合理？,可能為酸性,必為強鹼,必為中性,必無離子,A,廣用試紙偏紅常對應酸性區間。,進階,,,keep,,,,,,,,
cea2a868-99de-4fb7-970b-4f8438096307,question_bank_items,酸鹼中和,AB06,酸鹼在生活中的應用，下列何者較常見？,利用醋去除水垢（酸與鹽類反應）,用鹽酸洗傷口,用濃硫酸直接飲用,用強鹼當飲料,A,醋酸可與部分鹽類作用，常用於清潔情境（需注意安全）。,基礎,,,keep,,,,,,,,
0a82e6ae-2e4c-446a-9ec4-0337464dd5f3,question_bank_items,酸鹼中和,AB06,下列何者屬於酸鹼「安全」使用概念？,稀釋強酸強鹼時將酸緩慢加入水中並攪拌,將水倒入濃硫酸中,徒手抓取固體強鹼,在密閉空間大量混合酸鹼不通風,A,稀釋濃硫酸應將酸入水並小心操作。,進階,,,keep,,,,,,,,
7947edf6-f3cc-4b44-a4f2-71fa7ff3e705,question_bank_items,酸鹼中和,CO01,在溶液中，「濃度」通常表示什麼意義？,單位體積溶液中所含溶質的量（或莫耳數）多寡,溶劑的總質量,溶液的體積必為 1 L,溫度的高低,A,濃度描述溶質相對於溶液或溶劑的含量。,基礎,,,keep,,,,,,,,
cbc7d18f-d3b7-464c-bd10-99a41351f0ac,question_bank_items,酸鹼中和,CO01,下列何者屬於濃度的可能表示方式？,莫耳濃度（M）,只有長度單位,只有時間單位,只有面積單位,A,莫耳濃度為常見表示法之一。,進階,,,keep,,,,,,,,
5e826286-8526-434e-b941-9a42aa2edb51,question_bank_items,酸鹼中和,CO02,甲、乙兩杯糖水，甲杯較甜，通常表示什麼？,甲杯糖濃度較高,甲杯水比較多所以較甜,甜度與濃度無關,乙杯溫度較高,A,較甜通常代表溶質（糖）相對較多即濃度較高。,基礎,,,keep,,,,,,,,
b8ab4d51-f9b4-4d33-b629-47173a2e5263,question_bank_items,酸鹼中和,CO02,相同體積下，哪一杯食鹽水較「濃」？,溶解的食鹽較多者,溶解的食鹽較少者,兩杯水較多者,無法判斷,A,同體積時溶質愈多通常濃度愈大。,進階,,,keep,,,,,,,,
5d82b324-3fa6-4536-944c-9cb6d0a907e2,question_bank_items,酸鹼中和,CO03,下列何者屬於「定性」判斷濃淡？,品嚐鹹度高低（注意安全與衛生）,精確滴定求濃度,使用分析天平求莫耳濃度,以分光光度計定量,A,味覺或顏色深淺屬定性判斷（實驗室通常避免品嚐）。,基礎,,,keep,,,,,,,,
3d927b26-5f1b-4bb6-b6db-a98e5a9b4e1d,question_bank_items,酸鹼中和,CO03,已知兩杯相同體積的硝酸銀溶液，甲杯含溶質較多，下列何者正確？,甲杯濃度較大,甲杯濃度較小,兩杯濃度必相等,與溶質量無關,A,同體積溶質愈多，濃度通常愈大。,進階,,,keep,,,,,,,,
d1ed7590-75b8-4500-b4f2-8705fd6947c3,question_bank_items,酸鹼中和,CO04,將濃溶液加水稀釋，若不考慮體積非理想性，溶質莫耳數如何變化？,不變,變成兩倍,變成零,隨意變化,A,稀釋只加溶劑，溶質總莫耳數不變。,基礎,,,keep,,,,,,,,
a0377a23-f8bb-4946-8eb4-47bbc643b5f8,question_bank_items,酸鹼中和,CO04,取定量稀釋後，溶液體積變大，溶質濃度通常如何變化？,變小,變大,不變,變成無限大,A,溶質不變、體積變大，濃度下降。,進階,,,keep,,,,,,,,
ca397667-27f0-4dc2-a415-50c7df5e30c8,question_bank_items,酸鹼中和,CO05,烹調時「加水調淡」主要改變什麼？,降低溶質濃度,增加溶質量,移除所有溶質,改變溶質種類,A,加水稀釋使濃度降低。,基礎,,,keep,,,,,,,,
4814c01c-502f-491c-9f1e-b6d6943029e3,question_bank_items,酸鹼中和,CO05,沖泡飲品時，同量粉包沖入較多水，味道較淡的原因為何？,濃度較低,濃度較高,溫度必變高,溶質莫耳數變多,A,同溶質、較多水 → 濃度較低。,進階,,,keep,,,,,,,,
